2026-05-31 11:26:56 | CRITICAL | utils.alert_manager:trigger:62 | [ALERT][FALL_P2] Person 2 may have fallen!
2026-05-31 11:26:57 | WARNING | utils.alert_manager:trigger:62 | [ALERT][PPE_No Helmet_P1] Person 1 — PPE violation: No Helmet
2026-05-31 11:27:00 | CRITICAL | utils.alert_manager:trigger:62 | [ALERT][FALL_P1] Person 1 may have fallen!
2026-05-31 11:27:00 | WARNING | utils.alert_manager:trigger:62 | [ALERT][PPE_No Safety Vest_P1] Person 1 — PPE violation: No Safety Vest
2026-05-31 11:27:02 | WARNING | utils.alert_manager:trigger:62 | [ALERT][PPE_No Helmet_P1] Person 1 — PPE violation: No Helmet
2026-05-31 11:27:05 | WARNING | utils.alert_manager:trigger:62 | [ALERT][PPE_No Safety Vest_P1] Person 1 — PPE violation: No Safety Vest
2026-05-31 11:27:07 | WARNING | utils.alert_manager:trigger:62 | [ALERT][PPE_No Helmet_P1] Person 1 — PPE violation: No Helmet
2026-05-31 11:27:11 | WARNING | utils.alert_manager:trigger:62 | [ALERT][PPE_No Safety Vest_P1] Person 1 — PPE violation: No Safety Vest
2026-05-31 11:27:13 | WARNING | utils.alert_manager:trigger:62 | [ALERT][PPE_No Helmet_P1] Person 1 — PPE violation: No Helmet
2026-05-31 11:27:16 | WARNING | utils.alert_manager:trigger:62 | [ALERT][PPE_No Safety Vest_P1] Person 1 — PPE violation: No Safety Vest
2026-05-31 11:27:18 | WARNING | utils.alert_manager:trigger:62 | [ALERT][PPE_No Helmet_P1] Person 1 — PPE violation: No Helmet
2026-05-31 11:27:20 | INFO | __main__:main:142 | System shut down.
